,aX,aY,aZ,gX,gY,gZ
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,-41.01,0,0,0,0,0
3,-41.01,-25.41,-4.54,-2.34,9.42,0
4,-41.01,-25.41,-4.54,-2.34,9.42,-1.59
5,-41.01,-25.41,-4.54,-2.34,9.42,-1.59
6,-41.12,-25.41,-4.54,-2.34,9.42,-1.59
7,-41.12,-25.45,-4.08,-1.24,9.42,-1.59
8,-41.12,-25.45,-4.08,-1.24,7.63,6.09
9,-41.12,-25.45,-4.08,-1.24,7.63,6.09
10,-41.12,-25.45,-4.08,-1.24,7.63,6.09
11,-28.22,9.32,18.28,-1.24,7.63,6.09
12,-28.22,9.32,18.28,-23.14,9.43,6.09
13,-28.22,9.32,18.28,-23.14,9.43,8.01
14,-28.22,9.32,18.28,-23.14,9.43,8.01
15,-19.2,9.32,18.28,-23.14,9.43,8.01
16,-19.2,-29.9,15.01,-23.14,9.43,8.01
17,-19.2,-29.9,15.01,-18.14,-19.88,70.2
18,-19.2,-29.9,15.01,-18.14,-19.88,70.2
19,-19.2,-29.9,15.01,-18.14,-19.88,70.2
20,-8.2,-81.55,15.01,-18.14,-19.88,70.2
21,-8.2,-81.55,-16.23,-25.12,-32.08,34.01
22,-8.2,-81.55,-16.23,-25.12,-32.08,34.01
23,-8.2,-81.55,-16.23,-25.12,-32.08,34.01
24,5.05,-81.55,-16.23,-25.12,-32.08,34.01
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,-38.3,-25.58,-5.4,3.81,0,0
29,-38.3,-25.58,-5.4,3.81,-0.09,-8.16
30,-38.3,-25.58,-5.4,3.81,-0.09,-8.16
31,-38.3,-25.58,-5.4,3.81,-0.09,-8.16
32,-38.44,-28.17,-4.02,-1.32,-0.09,-8.16
33,-38.44,-28.17,-4.02,-1.32,2.81,-4.66
34,-38.44,-28.17,-4.02,-1.32,2.81,-4.66
35,-38.44,-28.17,-4.02,-1.32,2.81,-4.66
36,-12.68,7.17,-4.02,-1.32,2.81,-4.66
37,-12.68,7.17,10.72,5.48,2.81,-4.66
38,-12.68,7.17,10.72,5.48,17.69,21.4
39,-12.68,7.17,10.72,5.48,17.69,21.4
40,-12.68,7.17,10.72,5.48,17.69,21.4
41,8.54,-51,2.6,-16.86,17.69,21.4
42,8.54,-51,2.6,-16.86,-21.29,99.83
43,8.54,-51,2.6,-16.86,-21.29,99.83
44,8.54,-51,2.6,-16.86,-21.29,99.83
45,9.02,-99.99,-25.78,-35.96,-21.29,99.83
46,9.02,-99.99,-25.78,-35.96,-2.11,-6.81
47,9.02,-99.99,-25.78,-35.96,-2.11,-6.81
48,9.02,-99.99,-25.78,-35.96,-2.11,-6.81
49,12.13,-55.15,-38.56,-17.09,-2.11,-6.81
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,-42.95,0,0,0,0,0
53,-42.95,-31.49,2.47,-1.11,2.96,0
54,-42.95,-31.49,2.47,-1.11,2.96,-1.58
55,-42.95,-31.49,2.47,-1.11,2.96,-1.58
56,-42.79,-32.8,2.47,-1.11,2.96,-1.58
57,-42.79,-32.8,3.95,-1.75,1.42,-4.24
58,-42.79,-32.8,3.95,-1.75,1.42,-4.24
59,-31.09,-32.8,3.95,-1.75,1.42,-4.24
60,-31.09,-13.69,-2.18,-15.03,1.42,-4.24
61,-31.09,-13.69,-2.18,-15.03,5,-19.24
62,-31.09,-13.69,-2.18,-15.03,5,-19.24
63,-12.84,-13.69,-2.18,-15.03,5,-19.24
64,-12.84,49.44,25.02,-15.03,5,-19.24
65,-12.84,49.44,25.02,5.11,17.29,63
66,-12.84,49.44,25.02,5.11,17.29,63
67,-12.84,49.44,25.02,5.11,17.29,63
68,7.77,-99.99,25.02,5.11,17.29,63
69,7.77,-99.99,3.63,-7.03,-3.79,81
70,7.77,-99.99,3.63,-7.03,-3.79,81
71,7.77,-99.99,3.63,-7.03,-3.79,81
72,2.04,-99.99,-25.45,-7.03,-3.79,81
73,2.04,-99.99,-25.45,-23.9,14.74,81
74,2.04,-99.99,-25.45,-23.9,14.74,-14.4
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,-41.46,-24.58,0,0,0,0
78,-41.46,-24.58,3.64,-2.58,7.32,0
79,-41.46,-24.58,3.64,-2.58,7.32,-10.45
80,-41.46,-24.58,3.64,-2.58,7.32,-10.45
81,-31.16,-4.87,10.05,-9.19,7.32,-10.45
82,-31.16,-4.87,10.05,-9.19,15.5,-5.64
83,-31.16,-4.87,10.05,-9.19,15.5,-5.64
84,-31.16,-4.87,10.05,-9.19,15.5,-5.64
85,-6.82,13.84,10.05,-9.19,15.5,-5.64
86,-6.82,13.84,29.39,9.76,0.55,-5.64
87,-6.82,13.84,29.39,9.76,0.55,76.83
88,-6.82,13.84,29.39,9.76,0.55,76.83
89,-10.2,13.84,29.39,9.76,0.55,76.83
90,-10.2,-81.44,13.75,9.76,0.55,76.83
91,-10.2,-81.44,13.75,-0.36,-7.66,79.65
92,-10.2,-81.44,13.75,-0.36,-7.66,79.65
93,-10.2,-81.44,13.75,-0.36,-7.66,79.65
94,-4.02,-99.99,-11.36,-0.36,-7.66,79.65
95,-4.02,-99.99,-11.36,-18.23,7.74,4.64
96,-4.02,-99.99,-11.36,-18.23,7.74,4.64
97,-4.02,-99.99,-11.36,-18.23,7.74,4.64
98,9.46,-70.73,-13.89,-18.23,7.74,4.64
99,9.46,-70.73,-13.89,-14.88,54.4,-46.21
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,-36.81,-10.95,0,0,0,0
103,-36.81,-10.95,0.25,14.31,0,0
104,-36.81,-10.95,0.25,14.31,5.71,5.84
105,-36.81,-10.95,0.25,14.31,5.71,5.84
106,-36.81,-10.95,0.25,14.31,5.71,5.84
