,aX,aY,aZ,gX,gY,gZ
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,-46.31,0,0,0,0,0
3,-46.31,-18.62,-6.39,-0.1,0,0
4,-46.31,-18.62,-6.39,-0.1,-0.78,0.4
5,-46.31,-18.62,-6.39,-0.1,-0.78,0.4
6,-46.31,-18.62,-6.39,-0.1,-0.78,0.4
7,-47.42,-18.4,-7.55,-0.1,-0.78,0.4
8,-47.42,-18.4,-7.55,-0.04,-2.21,-0.48
9,-47.42,-18.4,-7.55,-0.04,-2.21,-0.48
10,-47.42,-18.4,-7.55,-0.04,-2.21,-0.48
11,-46.99,-18.73,-9.24,0.88,-2.21,-0.48
12,-46.99,-18.73,-9.24,0.88,-0.73,1.53
13,-46.99,-18.73,-9.24,0.88,-0.73,1.53
14,-46.99,-18.73,-9.24,0.88,-0.73,1.53
15,-41.92,-14.61,-12.89,0.88,-0.73,1.53
16,-41.92,-14.61,-12.89,-1.64,5.28,5.24
17,-41.92,-14.61,-12.89,-1.64,5.28,5.24
18,-41.92,-14.61,-12.89,-1.64,5.28,5.24
19,-34.68,-13.64,-12.89,-1.64,5.28,5.24
20,-34.68,-13.64,-9.24,-2.4,15.59,5.24
21,-34.68,-13.64,-9.24,-2.4,15.59,16.42
22,-34.68,-13.64,-9.24,-2.4,15.59,16.42
23,-34.68,-13.64,-9.24,-2.4,15.59,16.42
24,-34.86,-18.85,0.39,-6.39,15.59,16.42
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,-40.82,-25.88,0,0,0,0
28,-40.82,-25.88,2.79,-0.8,1.58,0
29,-40.82,-25.88,2.79,-0.8,1.58,2.16
30,-40.82,-25.88,2.79,-0.8,1.58,2.16
31,-39.95,-25.88,2.79,-0.8,1.58,2.16
32,-39.95,-27.15,3.73,-0.8,1.58,2.16
33,-39.95,-27.15,3.73,-2,5.08,3.42
34,-39.95,-27.15,3.73,-2,5.08,3.42
35,-39.95,-27.15,3.73,-2,5.08,3.42
36,-23.9,12.43,4.36,-3.31,5.08,3.42
37,-23.9,12.43,4.36,-3.31,12.94,37.93
38,-23.9,12.43,4.36,-3.31,12.94,37.93
39,-23.9,12.43,4.36,-3.31,12.94,37.93
40,-17.47,-22.33,14.95,-3.31,12.94,37.93
41,-17.47,-22.33,14.95,-17.5,24.26,55.7
42,-17.47,-22.33,14.95,-17.5,24.26,55.7
43,-17.47,-22.33,14.95,-17.5,24.26,55.7
44,-6.81,-38.58,33.61,-17.5,24.26,55.7
45,-6.81,-38.58,33.61,-10.96,27.37,63.33
46,-6.81,-38.58,33.61,-10.96,27.37,63.33
47,-6.81,-38.58,33.61,-10.96,27.37,63.33
48,1.27,-76.17,33.61,-10.96,27.37,63.33
49,1.27,-76.17,41.08,-10.61,8.2,63.33
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,-37.45,0,0,0,0,0
53,-37.45,-31.69,-2.41,-5.2,4.84,0
54,-37.45,-31.69,-2.41,-5.2,4.84,8.51
55,-37.45,-31.69,-2.41,-5.2,4.84,8.51
56,-37.45,-31.69,-2.41,-5.2,4.84,8.51
57,-35.8,-32.01,0.95,-5.2,4.84,8.51
58,-35.8,-32.01,0.95,-7,6.67,10.1
59,-35.8,-32.01,0.95,-7,6.67,10.1
60,-35.8,-32.01,0.95,-7,6.67,10.1
61,-29.22,-24.19,5.33,-9.97,6.67,10.1
62,-29.22,-24.19,5.33,-9.97,9.96,17.85
63,-29.22,-24.19,5.33,-9.97,9.96,17.85
64,-29.22,-24.19,5.33,-9.97,9.96,17.85
65,-28.05,-24.19,5.33,-9.97,9.96,17.85
66,-28.05,-39.32,11.87,-13.74,14.45,32.88
67,-28.05,-39.32,11.87,-13.74,14.45,32.88
68,-28.05,-39.32,11.87,-13.74,14.45,32.88
69,-23.71,-39.32,11.87,-13.74,14.45,32.88
70,-23.71,-48.43,18.29,4.41,15.48,42.93
71,-23.71,-48.43,18.29,4.41,15.48,42.93
72,-23.71,-48.43,18.29,4.41,15.48,42.93
73,-11.94,-48.43,18.29,4.41,15.48,42.93
74,-11.94,-64.71,20.57,1.27,15.48,42.93
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,-42.69,0,0,0,0,0
78,-42.69,-22.14,0.11,-4.66,0,0
79,-42.69,-22.14,0.11,-4.66,4.7,3.85
80,-42.69,-22.14,0.11,-4.66,4.7,3.85
81,-42.69,-22.14,0.11,-4.66,4.7,3.85
82,-42.73,-23.78,2.51,-4.66,4.7,3.85
83,-42.73,-23.78,2.51,-8.07,6.91,6.07
84,-42.73,-23.78,2.51,-8.07,6.91,6.07
85,-42.73,-23.78,2.51,-8.07,6.91,6.07
86,-37.46,-22.61,6.27,-8.07,6.91,6.07
87,-37.46,-22.61,6.27,-11.35,11.64,9.69
88,-37.46,-22.61,6.27,-11.35,11.64,9.69
89,-37.46,-22.61,6.27,-11.35,11.64,9.69
90,-37.08,-22.61,6.27,-11.35,11.64,9.69
91,-37.08,-23.9,9.31,-18.49,15.78,9.69
92,-37.08,-23.9,9.31,-18.49,15.78,16.16
93,-37.08,-23.9,9.31,-18.49,15.78,16.16
94,-32.73,-23.9,9.31,-18.49,15.78,16.16
95,-32.73,-30.56,20.37,-18.49,15.78,16.16
96,-32.73,-30.56,20.37,-12.81,18.05,23.48
97,-32.73,-30.56,20.37,-12.81,18.05,23.48
98,-32.73,-30.56,20.37,-12.81,18.05,23.48
99,-25.72,-35.98,20.37,-12.81,18.05,23.48
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,-43.68,-0.66,-22.23,-22.31,0,0
104,-43.68,-0.66,-22.23,-22.31,14.07,-6.72
105,-43.68,-0.66,-22.23,-22.31,14.07,-6.72
106,-43.68,-0.66,-22.23,-22.31,14.07,-6.72
